date,event,importance,estado
2023-01-06,NFP,alta,confirmado
2023-01-12,CPI,alta,confirmado
2023-02-03,NFP,alta,confirmado
2023-02-14,CPI,alta,confirmado
2023-03-10,NFP,alta,confirmado
2023-03-14,CPI,alta,confirmado
2023-04-07,NFP,alta,confirmado
2023-04-12,CPI,alta,confirmado
2023-05-05,NFP,alta,confirmado
2023-05-10,CPI,alta,confirmado
2023-06-02,NFP,alta,confirmado
2023-06-13,CPI,alta,confirmado
2023-06-14,FOMC,alta,confirmado
2023-07-07,NFP,alta,confirmado
2023-07-12,CPI,alta,confirmado
2023-07-26,FOMC,alta,confirmado
2023-08-04,NFP,alta,confirmado
2023-08-10,CPI,alta,confirmado
2023-09-01,NFP,alta,confirmado
2023-09-13,CPI,alta,confirmado
2023-09-20,FOMC,alta,confirmado
2023-10-06,NFP,alta,confirmado
2023-10-12,CPI,alta,confirmado
2023-11-01,FOMC,alta,confirmado
2023-11-03,NFP,alta,confirmado
2023-11-14,CPI,alta,confirmado
2023-12-08,NFP,alta,confirmado
2023-12-12,CPI,alta,confirmado
2023-12-13,FOMC,alta,confirmado
2024-01-05,NFP,alta,confirmado
2024-01-11,CPI,alta,confirmado
2024-01-31,FOMC,alta,confirmado
2024-02-02,NFP,alta,confirmado
2024-02-13,CPI,alta,confirmado
2024-03-08,NFP,alta,confirmado
2024-03-12,CPI,alta,confirmado
2024-03-20,FOMC,alta,confirmado
2024-04-05,NFP,alta,confirmado
2024-04-10,CPI,alta,confirmado
2024-05-01,FOMC,alta,confirmado
2024-05-03,NFP,alta,confirmado
2024-05-15,CPI,alta,confirmado
2024-06-07,NFP,alta,confirmado
2024-06-12,CPI,alta,confirmado
2024-06-12,FOMC,alta,confirmado
2024-07-05,NFP,alta,confirmado
2024-07-11,CPI,alta,confirmado
2024-07-31,FOMC,alta,confirmado
2024-08-02,NFP,alta,confirmado
2024-08-14,CPI,alta,confirmado
2024-09-06,NFP,alta,confirmado
2024-09-11,CPI,alta,confirmado
2024-09-18,FOMC,alta,confirmado
2024-10-04,NFP,alta,confirmado
2024-10-10,CPI,alta,confirmado
2024-11-01,NFP,alta,confirmado
2024-11-07,FOMC,alta,confirmado
2024-11-13,CPI,alta,confirmado
2024-12-06,NFP,alta,confirmado
2024-12-11,CPI,alta,confirmado
2024-12-18,FOMC,alta,confirmado
2025-01-10,NFP,alta,confirmado
2025-01-15,CPI,alta,confirmado
2025-01-29,FOMC,alta,confirmado
2025-02-07,NFP,alta,confirmado
2025-02-12,CPI,alta,confirmado
2025-03-07,NFP,alta,confirmado
2025-03-12,CPI,alta,confirmado
2025-03-19,FOMC,alta,confirmado
2025-04-04,NFP,alta,confirmado
2025-04-10,CPI,alta,confirmado
2025-05-02,NFP,alta,confirmado
2025-05-07,FOMC,alta,confirmado
2025-05-13,CPI,alta,confirmado
2025-06-06,NFP,alta,confirmado
2025-06-11,CPI,alta,confirmado
2025-06-18,FOMC,alta,confirmado
2025-07-03,NFP,alta,confirmado
2025-07-11,CPI,alta,confirmado
2025-07-30,FOMC,alta,confirmado
2025-08-01,NFP,alta,confirmado
2025-08-13,CPI,alta,confirmado
2025-09-05,NFP,alta,confirmado
2025-09-10,CPI,alta,confirmado
2025-09-17,FOMC,alta,confirmado
2025-10-03,NFP,alta,confirmado
2025-10-15,CPI,alta,confirmado
2025-10-29,FOMC,alta,confirmado
2025-11-07,NFP,alta,confirmado
2025-11-13,CPI,alta,confirmado
2025-12-05,NFP,alta,confirmado
2025-12-10,CPI,alta,confirmado
2025-12-10,FOMC,alta,confirmado
2026-01-09,NFP,alta,tentativo
2026-01-14,CPI,alta,tentativo
2026-01-28,FOMC,alta,confirmado
2026-02-06,NFP,alta,tentativo
2026-02-11,CPI,alta,tentativo
2026-03-06,NFP,alta,tentativo
2026-03-11,CPI,alta,tentativo
2026-03-18,FOMC,alta,confirmado
2026-04-03,NFP,alta,tentativo
2026-04-08,CPI,alta,tentativo
2026-04-29,FOMC,alta,confirmado
2026-05-01,NFP,alta,tentativo
2026-05-13,CPI,alta,tentativo
2026-06-05,NFP,alta,tentativo
2026-06-10,CPI,alta,tentativo
2026-06-17,FOMC,alta,tentativo
2026-07-02,NFP,alta,tentativo
2026-07-15,CPI,alta,tentativo
2026-07-29,FOMC,alta,tentativo
2026-08-07,NFP,alta,tentativo
2026-08-12,CPI,alta,tentativo
2026-09-04,NFP,alta,tentativo
2026-09-09,CPI,alta,tentativo
2026-09-16,FOMC,alta,tentativo
2026-10-02,NFP,alta,tentativo
2026-10-14,CPI,alta,tentativo
2026-10-28,FOMC,alta,tentativo
2026-11-06,NFP,alta,tentativo
2026-11-11,CPI,alta,tentativo
2026-12-04,NFP,alta,tentativo
2026-12-09,CPI,alta,tentativo
2026-12-09,FOMC,alta,tentativo
